Sample Accession	Sample ID	Tax Id	Scientific Name	Common Name	collection date	geographic location (country and/or sea)	lat lon	latitudeN	longitudeE
SAMEA9923959	UmAsp_BJ11	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.904357 N 20.198079 E	63.904357	20.198079
SAMEA9923960	UmAsp_BJ20	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.041760 N 20.005530 E	64.04176	20.00553
SAMEA9923961	UmAsp_BJ23	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.051154 N 19.997528 E	64.051154	19.997528
SAMEA9923962	UmAsp_BJ24	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.060071 N 19.993667 E	64.060071	19.993667
SAMEA9923963	UmAsp_BJ25	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.064895 N 64.064895 E	64.064895	64.064895
SAMEA9923957	UmAsp_BJ4	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.876522 N 20.198014 E	63.876522	20.198014
SAMEA9923958	UmAsp_BJ9	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.894821 N 20.197794 E	63.894821	20.197794
SAMEA9923964	UmAsp_EO01	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.822869 N 20.404162 E	63.822869	20.404162
SAMEA9923965	UmAsp_EO07	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.769679 N 20.429227 E	63.769679	20.429227
SAMEA9923966	UmAsp_EO10	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.907123 N 20.454323 E	63.907123	20.454323
SAMEA9923967	UmAsp_EO11	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.912845 N 20.459250 E	63.912845	20.45925
SAMEA9923968	UmAsp_EO12	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.914425 N 20.502268 E	63.914425	20.502268
SAMEA9923969	UmAsp_EO13	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.925588 N 20.535875 E	63.925588	20.535875
SAMEA9923970	UmAsp_EO14	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.045415 N 20.484969 E	64.045415	20.484969
SAMEA9923971	UmAsp_EO16	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.083233 N 20.499651 E	64.083233	20.499651
SAMEA9923972	UmAsp_EO17	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.100348 N 20.525295 E	64.100348	20.525295
SAMEA9923973	UmAsp_EO18	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.121860 N 20.539133 E	64.12186	20.539133
SAMEA9923974	UmAsp_EO19	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.125533 N 20.542650 E	64.125533	20.54265
SAMEA9923975	UmAsp_EO21	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.140638 N 20.597699 E	64.140638	20.597699
SAMEA9923976	UmAsp_EO22	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.136945 N 20.627111 E	64.136945	20.627111
SAMEA9923977	UmAsp_EO23	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.132244 N 20.637940 E	64.132244	20.63794
SAMEA9923978	UmAsp_EO24	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.116096 N 20.713631 E	64.116096	20.713631
SAMEA9923979	UmAsp_EO26	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.011600 N 20.899147 E	64.0116	20.899147
SAMEA9923980	UmAsp_K2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	61.775614 N 15.859934 E	61.775614	15.859934
SAMEA9923981	UmAsp_L1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	65.707963 N 18.709445 E	65.707963	18.709445
SAMEA9923982	UmAsp_L2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	65.708941 N 18.706177 E	65.708941	18.706177
SAMEA9923983	UmAsp_MB1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.867835 N 20.300425 E	63.867835	20.300425
SAMEA9923987	UmAsp_MB10	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.932454 N 20.387979 E	63.932454	20.387979
SAMEA9923988	UmAsp_MB11	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.935264 N 20.395858 E	63.935264	20.395858
SAMEA9923989	UmAsp_MB23	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.967861 N 20.368314 E	63.967861	20.368314
SAMEA9923990	UmAsp_MB24	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.941980 N 20.304210 E	63.94198	20.30421
SAMEA9923991	UmAsp_MB25	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.954919 N 20.311245 E	63.954919	20.311245
SAMEA9923992	UmAsp_MB26	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.959016 N 20.317048 E	63.959016	20.317048
SAMEA9923993	UmAsp_MB27	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.965464 N 20.330344 E	63.965464	20.330344
SAMEA9923994	UmAsp_MB28	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.973168 N 20.341331 E	63.973168	20.341331
SAMEA9923984	UmAsp_MB3	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.874741 N 20.302477 E	63.874741	20.302477
SAMEA9923995	UmAsp_MB35	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.882243 N 20.303921 E	63.882243	20.303921
SAMEA9923985	UmAsp_MB4	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.877830 N 20.303358 E	63.87783	20.303358
SAMEA9923986	UmAsp_MB9	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.930916 N 20.381238 E	63.930916	20.381238
SAMEA9923996	UmAsp_T1	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	63.827715 N 20.457841 E	63.827715	20.457841
SAMEA9923997	UmAsp_T2	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	 		
SAMEA9923998	UmAsp_V	113636	Populus tremula L.	European aspen	2012-06-12	Sweden	64.216091 N 19.812486 E	64.216091	19.812486
